"Reference","Value","Footprint","Qty","DNP","Generic Allowed?","LCSC#","Manufacturer","Part number","Description","cost"
"X1","25Mhz","Oscillator:Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm","1","","no","C5179998","SCTF","SX3V25.000B20100F30TNN","CMOS Clock Oscillator","1.49"
"U20","LNK306D","Package_SO:PowerIntegrations_SO-8C","1","","no","C394187","POWER INTEGRATIONS","LNK306DG-TL","LinkSwitch-TN Family, 360mA Output Current, SO-8C","0.62"
"U15,U16,U19","PC-817S1-CTP1-F","footprints:PC-817S1-CTP1-F","3","","yes","C42368115","HENGTUO","PC-817S1-CTP1-F","DC Optocoupler, Vce 35V, DIP-4","0.03"
"U12,U13,U14","OPA4323IPWR","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","3","","no","C22419728","TI","OPA4323IPWR","Quad Single-Supply, Rail-to-Rail Operational Amplifier, MicroAmplifier Series, SOIC-14","0.87"
"U10","TPS54202DDC","Package_TO_SOT_SMD:SOT-23-6","1","","no","C191884","TI","TPS54202DDCR","2A, 4.5 to 28V Input, EMI Friendly integrated switch synchronous step-down regulator, pulse-skipping, SOT-23-6","0.10"
"U9","74LVC1G126","Package_TO_SOT_SMD:SOT-353_SC-70-5","1","","yes","C48391411","GR","74LVC1G126CT05ARCQ","Single Buffer Gate Tri-State, Low-Voltage CMOS","0.03"
"U6,U21","TLV75733PDBV","Package_TO_SOT_SMD:SOT-23-5","2","","yes","C485517","TI","TLV75733PDBVR","1A Low IQ Small Size Low Dropout Voltage Regulator, Fixed Output 3.3V, SOT-23-5","0.17"
"U5,U7,U8","CA_IS3741HW","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","3","","no","C428890","Chipanalog","CA-IS3741HW","General-purpose, quad-channel, 3/1 digital isolator","0.70"
"U3,U4","SP491EEN-L/TR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","2","","no","C32476","MaxLinear","SP491EEN-L/TR","RS485 transceiver, full duplex, receiver/driver enable, 50Mbps, SOIC-14 package","0.47"
"U2,U17,U18","IPM","footprints:DIP39_54.5X31.0_MODGC_OSI","3","DNP","no","","ONSEMI","","",""
"U1","STM32G474QET6","footprints:QFP40P1600X1600X160-128N","1","","no","C730129","STM","STM32G474QET6","","9.836"
"TP14","GND","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","1","DNP","","","","","test point",""
"TP13","24V_ISO","TestPoint:TestPoint_Pad_D2.0mm","1","DNP","","","","","test point",""
"TP7","3.3VA","TestPoint:TestPoint_Pad_D2.0mm","1","DNP","","","","","test point",""
"TP6","3.3V","TestPoint:TestPoint_Pad_D2.0mm","1","DNP","","","","","test point",""
"TP5","5V_ISO","TestPoint:TestPoint_Pad_D2.0mm","1","DNP","","","","","test point",""
