Ref,Val,Package,PosX,PosY,Rot,Side
"C21","10uf","C_Rect_L32mm_W16.0mm_P27.50mm",163.055000,-78.180000,0.000000,bottom
"C130","1uf","C_Rect_L26.5mm_W10.5mm_P22.50mm_MKS4",182.650000,-269.900000,180.000000,bottom
"C131","10uf","C_Rect_L32mm_W16.0mm_P27.50mm",190.510000,-119.770000,180.000000,bottom
"C132","10uf","C_Rect_L32mm_W16.0mm_P27.50mm",162.995000,-138.050000,0.000000,bottom
"C133","10uf","C_Rect_L32mm_W16.0mm_P27.50mm",190.455000,-179.630000,180.000000,bottom
"C134","10uf","C_Rect_L32mm_W16.0mm_P27.50mm",162.945000,-197.910000,0.000000,bottom
"C135","10uf","C_Rect_L32mm_W16.0mm_P27.50mm",190.395000,-239.510000,180.000000,bottom
"J1","8P8C_LED_Shielded_x2","RJ45_XDRJ-1609-002",165.880000,-54.590000,90.000000,bottom
"J4","MOTOR_A","DB3ERC-7.62-3P",183.640000,-87.535000,-90.000000,bottom
"J5","MOTOR_B","DB3ERC-7.62-3P",183.640000,-147.405000,-90.000000,bottom
"J6","MOTOR_C","DB3ERC-7.62-3P",183.640000,-207.275000,-90.000000,bottom
"J7","DC BUS","DB3ERC-7.62-2P",183.475000,-248.945000,-90.000000,bottom
"J8","STO","PinHeader_1x05_P2.54mm_Vertical",261.225000,-240.750000,90.000000,bottom
"L9","L","L_Radial_D7.2mm_P3.00mm_Murata_1700",192.500000,-258.500000,0.000000,bottom
"M1","Fan_4pin","PinHeader_1x04_P2.54mm_Vertical",218.940000,-46.110000,-90.000000,bottom
"PS1","F0505S-1W","Converter_DCDC_FXXS-1W",228.957500,-56.892500,180.000000,bottom
"U2","IPM","DIP39_54.5X31.0_MODGC_OSI",216.180000,-101.810000,180.000000,bottom
"U17","IPM","DIP39_54.5X31.0_MODGC_OSI",216.180000,-161.680000,180.000000,bottom
"U18","IPM","DIP39_54.5X31.0_MODGC_OSI",216.180000,-221.550000,180.000000,bottom
"C1","1nf","C_0402_1005Metric",236.240000,-121.810000,-90.000000,top
"C2","1nf","C_0402_1005Metric",236.240000,-109.610000,-90.000000,top
"C3","1nf","C_0402_1005Metric",236.240000,-97.410000,-90.000000,top
"C4","1nf","C_0402_1005Metric",232.040000,-86.610000,180.000000,top
"C5","1nf","C_0402_1005Metric",232.040000,-88.410000,180.000000,top
"C6","1nf","C_0402_1005Metric",232.040000,-90.210000,180.000000,top
"C7","2.2uf","C_1206_3216Metric",230.640000,-126.810000,-90.000000,top
"C8",".1uf","C_0402_1005Metric",232.250000,-126.930000,-90.000000,top
"C9","2.2uf","C_1206_3216Metric",230.640000,-114.810000,-90.000000,top
"C10",".1uf","C_0402_1005Metric",232.250000,-114.810000,-90.000000,top
"C11","2.2uf","C_1206_3216Metric",230.640000,-102.610000,-90.000000,top
"C12",".1uf","C_0402_1005Metric",232.250000,-102.610000,-90.000000,top
"C13",".1uf","C_0402_1005Metric",230.840000,-97.410000,180.000000,top
"C14",".1uf","C_0402_1005Metric",230.840000,-109.610000,180.000000,top
"C15",".1uf","C_0402_1005Metric",230.840000,-121.810000,180.000000,top
"C16",".1uf","C_1812_4532Metric",208.200000,-102.760000,90.000000,top
"C17","10nf","C_0402_1005Metric",232.040000,-91.910000,180.000000,top
"C18",".1uf","C_0402_1005Metric",232.240000,-78.610000,90.000000,top
"C19","1nf","C_0402_1005Metric",232.240000,-80.810000,90.000000,top
"C20","10nf","C_0402_1005Metric",232.040000,-83.010000,180.000000,top
"C22",".1uf","C_0402_1005Metric",254.440000,-56.360000,0.000000,top
"C23",".1uf","C_0402_1005Metric",244.140000,-56.387500,0.000000,top
"C24","22uf","C_1206_3216Metric",242.800000,-102.700000,90.000000,top
"C25",".1uf","C_0402_1005Metric",215.090000,-49.710000,180.000000,top
"C26",".1uf","C_0402_1005Metric",210.500000,-51.910000,-90.000000,top
"C27","22uf","CP_Elec_6.3x5.9",198.350000,-49.700000,90.000000,top
"C28","22uf","C_1206_3216Metric",210.090000,-48.210000,180.000000,top
"C29","22uf","C_1206_3216Metric",210.090000,-45.910000,180.000000,top
"C30","75pf","C_0402_1005Metric",214.490000,-46.410000,90.000000,top
"C31",".1uf","C_0402_1005Metric",254.140000,-58.010000,0.000000,top
"C32",".1uf","C_0402_1005Metric",243.340000,-58.010000,0.000000,top
"C33",".1uf","C_0402_1005Metric",232.590000,-58.010000,0.000000,top
"C34","22uf","CP_Elec_6.3x5.9",160.100000,-54.800000,90.000000,top
"C35","22uf","CP_Elec_6.3x5.9",221.540000,-51.010000,180.000000,top
"C36","2.2uf","C_1206_3216Metric",208.890000,-51.710000,-90.000000,top
"C37",".1uf","C_0402_1005Metric",238.740000,-57.910000,0.000000,top
"C38","2.2uf","C_1206_3216Metric",226.300000,-58.100000,90.000000,top
"C39","22uf","C_1206_3216Metric",250.500000,-99.800000,90.000000,top
"C40","22uf","C_1206_3216Metric",227.000000,-70.700000,-90.000000,top
"C41","22uf","C_1206_3216Metric",250.500000,-105.600000,90.000000,top
"C42",".1uf","C_0402_1005Metric",232.540000,-70.810000,0.000000,top
"C43",".1uf","C_0402_1005Metric",243.340000,-70.810000,0.000000,top
"C44",".1uf","C_0402_1005Metric",254.140000,-70.810000,0.000000,top
"C53","C","C_0402_1005Metric",255.412500,-81.130000,0.000000,top
"C54","1.5pf","C_0402_1005Metric",256.012500,-78.730000,90.000000,top
"C55","1.5pf","C_0402_1005Metric",255.012500,-78.730000,-90.000000,top
"C56",".1uf","C_0402_1005Metric",251.112500,-85.530000,-90.000000,top
"C57",".1uf","C_0402_1005Metric",257.412500,-77.730000,180.000000,top
"C58","1.5pf","C_0402_1005Metric",254.012500,-78.730000,-90.000000,top
"C59","1.5pf","C_0402_1005Metric",257.812500,-80.730000,-90.000000,top
"C60","100pf","C_0402_1005Metric",252.471371,-146.040657,45.000000,top
"C61","C","C_0402_1005Metric",253.412500,-81.130000,180.000000,top
"C62","1.5pf","C_0402_1005Metric",253.012500,-78.730000,90.000000,top
"C63","1.5pf","C_0402_1005Metric",251.012500,-80.730000,-90.000000,top
"C64",".1uf","C_0402_1005Metric",251.512500,-78.130000,0.000000,top
"C65","100pf","C_0402_1005Metric",249.642944,-146.464921,135.000000,top
"C66","1.5pf","C_0402_1005Metric",254.012500,-91.730000,90.000000,top
"C67","C","C_0402_1005Metric",253.412500,-89.930000,180.000000,top
"C68","1.5pf","C_0402_1005Metric",253.012500,-91.730000,-90.000000,top
"C69","1.5pf","C_0402_1005Metric",251.012500,-90.330000,90.000000,top
"C70",".1uf","C_0402_1005Metric",251.512500,-92.830000,0.000000,top
"C71","100pf","C_0402_1005Metric",251.057157,-145.050708,135.000000,top
"C72","1.5pf","C_0402_1005Metric",255.065203,-126.754100,-90.000000,top
"C73","C","C_0402_1005Metric",255.465203,-129.154100,0.000000,top
"C74","1.5pf","C_0402_1005Metric",256.065203,-126.754100,90.000000,top
"C75","1.5pf","C_0402_1005Metric",257.865203,-128.754100,-90.000000,top
"C76",".1uf","C_0402_1005Metric",257.465203,-125.754100,180.000000,top
